date,price
2025-07-03,213.55
2025-07-02,212.44
2025-07-01,207.82
2025-06-30,205.17
2025-06-27,201.08
2025-06-26,201.00
2025-06-25,201.56
2025-06-24,200.30
2025-06-23,201.50
2025-06-20,201.00
2025-06-18,196.58
2025-06-17,195.64
2025-06-16,198.42
2025-06-13,196.45
2025-06-12,199.20
2025-06-11,198.78
2025-06-10,202.67
2025-06-09,201.45
2025-06-06,203.92
2025-06-05,200.63
2025-06-04,202.82
2025-06-03,203.27
2025-06-02,201.70
2025-05-30,200.85
2025-05-29,199.95
2025-05-28,200.42
2025-05-27,200.21
2025-05-23,195.27
2025-05-22,201.36
2025-05-21,202.09
2025-05-20,206.86
2025-05-19,208.78
2025-05-16,211.26
2025-05-15,211.45
2025-05-14,212.33
2025-05-13,212.93
2025-05-12,210.79
2025-05-09,198.53
2025-05-08,197.49
